,precision,recall,f1-score,support
fastr,0.0,0.0,0.0,0.0
kjósa,0.0,0.0,0.0,0.0
vitr,1.0,1.0,1.0,3.0
umboðsmaðr,0.0,0.0,0.0,0.0
hrǽða,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
dvelja,0.0,0.0,0.0,0.0
þit,0.5,1.0,0.6666666666666666,17.0
alfr,0.0,0.0,0.0,0.0
ǫnundr,0.875,0.875,0.875,16.0
leika,0.4666666666666667,0.7,0.56,10.0
synð,1.0,0.6666666666666666,0.8,3.0
afl,0.7,0.875,0.7777777777777778,8.0
millum,0.3333333333333333,0.2,0.25,5.0
lofa,0.25,0.5,0.3333333333333333,2.0
loft,0.8181818181818182,1.0,0.9,9.0
sǽtt,0.6363636363636364,1.0,0.7777777777777778,14.0
innan,0.0,0.0,0.0,0.0
sverja,0.0,0.0,0.0,0.0
skynsamr,0.0,0.0,0.0,0.0
romanus,0.0,0.0,0.0,0.0
synja,0.3333333333333333,1.0,0.5,5.0
meir,0.2,0.14285714285714285,0.16666666666666666,7.0
slá,0.0,0.0,0.0,0.0
sveit,0.0,0.0,0.0,0.0
kirkja,0.0,0.0,0.0,0.0
borð,0.0,0.0,0.0,0.0
sǽti,0.2,0.3333333333333333,0.25,3.0
skilgetinn,0.0,0.0,0.0,0.0
vǽnn,1.0,1.0,1.0,1.0
líka,0.0,0.0,0.0,2.0
sól,0.0,0.0,0.0,0.0
trú,0.43478260869565216,0.8333333333333334,0.5714285714285714,12.0
jón,0.0,0.0,0.0,0.0
njóta,0.0,0.0,0.0,2.0
hvárrtveggja,0.3333333333333333,0.4166666666666667,0.37037037037037035,12.0
rauðr,0.75,0.6,0.6666666666666666,5.0
lítt,0.0,0.0,0.0,0.0
mǽr,1.0,0.6666666666666666,0.8,3.0
minni,0.25,0.26666666666666666,0.25806451612903225,15.0
riddari,0.0,0.0,0.0,0.0
þjóna,0.4782608695652174,1.0,0.6470588235294118,11.0
droplaug,0.0,0.0,0.0,0.0
víða,0.7368421052631579,1.0,0.8484848484848485,14.0
missa,0.0,0.0,0.0,0.0
ei,0.0,0.0,0.0,0.0
sǽr,0.7777777777777778,0.6363636363636364,0.7,11.0
